Code_Region,Nom_Region,Code_CNP,Titre_professionnel_de_la_CNP,Niveau_de_competences,Genre_de_competences,emploi_estime,Perspectives
400,Ensemble du Quebec,121,Directeurs/directrices des assurances/ de l'immobilier et du courtage financier, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,4000,Leger Deficit
400,Ensemble du Quebec,122,Directeurs/directrices de banque/ du credit et d'autres services de placements, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,13000,equilibre
400,Ensemble du Quebec,124,Directeurs/directrices de la publicite/ du marketing et des relations publiques, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,14000,Leger Deficit
400,Ensemble du Quebec,125,Directeurs/directrices d'autres services aux entreprises, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,3500,equilibre
400,Ensemble du Quebec,131,Directeurs/directrices d'entreprises de telecommunications, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,3000,equilibre
400,Ensemble du Quebec,132,Directeurs/directrices des services postaux et de messageries, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,500,equilibre
400,Ensemble du Quebec,211,Directeurs/directrices des services de genie, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,4000,equilibre
400,Ensemble du Quebec,212,Directeurs/directrices des services d'architecture et de sciences, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,2500,equilibre
400,Ensemble du Quebec,213,Gestionnaires des systèmes informatiques, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,17000,Deficit important
400,Ensemble du Quebec,311,Directeurs/directrices des soins de sante, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,7000,equilibre
400,Ensemble du Quebec,411,Gestionnaires de la fonction publique - elaboration de politiques et administration de programmes sociaux et de sante, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,1000,equilibre
400,Ensemble du Quebec,412,Gestionnaires de la fonction publique - analyse economique/ elaboration de politiques et administration de programmes, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,2000,Non publie
400,Ensemble du Quebec,413,Gestionnaires de la fonction publique - elaboration de politiques en matière d'education et administration de programmes, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,350,Non publie
400,Ensemble du Quebec,414,Autres gestionnaires de la fonction publique, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,2500,Non publie
400,Ensemble du Quebec,421,Administrateurs/administratrices - enseignement postsecondaire et formation professionnelle, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,3000,equilibre
400,Ensemble du Quebec,422,Directeurs/directrices d'ecole et administrateurs/administratrices de programmes d'enseignement aux niveaux primaire et secondaire, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,5000,equilibre
400,Ensemble du Quebec,423,Directeurs/directrices des services sociaux/ communautaires et correctionnels, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,8000,equilibre
400,Ensemble du Quebec,431,Officiers/officières de direction des services de police, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,1000,Non publie
400,Ensemble du Quebec,432,Chefs et officiers superieurs/officières superieures des services d'incendie, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,600,Non publie
400,Ensemble du Quebec,433,Officiers/officières de direction des Forces canadiennes, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,2000,Non publie
400,Ensemble du Quebec,511,Directeurs/directrices de bibliothèques/ des archives/ de musees et de galeries d'art, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,1000,equilibre
400,Ensemble du Quebec,512,Directeurs/directrices - edition/ cinema/ radiotelediffusion et arts de la scène, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,2000,equilibre
400,Ensemble du Quebec,513,Directeurs/directrices de programmes et de services de sports/ de loisirs et de conditionnement physique, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,3500,equilibre
400,Ensemble du Quebec,601,Directeurs/directrices des ventes corporatives, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,16000,equilibre
400,Ensemble du Quebec,621,Directeurs/directrices - commerce de detail et de gros, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,82000,equilibre
400,Ensemble du Quebec,631,Directeurs/directrices de la restauration et des services alimentaires, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,25000,equilibre
400,Ensemble du Quebec,632,Directeurs/directrices des services d'hebergement, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,5000,equilibre
400,Ensemble du Quebec,651,Directeurs/directrices du service à la clientèle et des services personnels/ n.c.a., A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,5000,Non publie
400,Ensemble du Quebec,711,Directeurs/directrices de la construction, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,16000,Leger Deficit
400,Ensemble du Quebec,712,Gestionnaires et renovateurs/renovatrices en construction domiciliaire, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,10000,equilibre
400,Ensemble du Quebec,714,Directeurs/directrices de l'exploitation et de l'entretien d'immeubles, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,8000,equilibre
400,Ensemble du Quebec,731,Directeurs/directrices des transports, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,7000,equilibre
400,Ensemble du Quebec,811,Directeurs/directrices de l'exploitation des ressources naturelles et de la pêche, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,1000,equilibre
400,Ensemble du Quebec,821,Gestionnaires en agriculture, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,23000,Leger Deficit
400,Ensemble du Quebec,822,Gestionnaires en horticulture, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,700,equilibre
400,Ensemble du Quebec,823,Gestionnaires en aquaculture, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,50,Non publie
400,Ensemble du Quebec,911,Directeurs/directrices de la fabrication, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,20000,Leger Deficit
400,Ensemble du Quebec,912,Directeurs/directrices des services d'utilite publique, A-1 Gestion (Haut. Qualifie)                                                                                                                                                                                                                                  ,Gestion                                                                         ,1500,equilibre
400,Ensemble du Quebec,1111,Verificateurs/verificatrices et comptables,A-2 Personnel professionel                                                                                                                                                                                                                                     ,Affaires                                                                        ,44000,equilibre
400,Ensemble du Quebec,1112,Analystes financiers/analystes financières et analystes en placements,A-2 Personnel professionel                                                                                                                                                                                                                                     ,Affaires                                                                        ,15000,Deficit important
400,Ensemble du Quebec,1113,Agents/agentes en valeurs/ agents/agentes en placements et negociateurs/negociatrices en valeurs,A-2 Personnel professionel                                                                                                                                                                                                                                     ,Affaires                                                                        ,3500,equilibre
400,Ensemble du Quebec,1114,Autres agents financiers/agentes financières,A-2 Personnel professionel                                                                                                                                                                                                                                     ,Affaires                                                                        ,28000,Leger Deficit
400,Ensemble du Quebec,1121,Professionnels/professionnelles en ressources humaines,A-2 Personnel professionel                                                                                                                                                                                                                                     ,Affaires                                                                        ,22000,Leger Deficit
400,Ensemble du Quebec,1122,Professionnels/professionnelles des services-conseils en gestion aux entreprises,A-2 Personnel professionel                                                                                                                                                                                                                                     ,Affaires                                                                        ,20000,Leger Deficit
400,Ensemble du Quebec,1123,Professionnels/professionnelles en publicite/ en marketing et en relations publiques,A-2 Personnel professionel                                                                                                                                                                                                                                     ,Affaires                                                                        ,25000,Leger Deficit
400,Ensemble du Quebec,1211,Superviseurs/superviseures de commis de bureau et du personnel de soutien administratif,Technique-1 (Haut. Qualifie)                                                                                                                                                                                                                                   ,Affaires                                                                        ,4000,equilibre
400,Ensemble du Quebec,1212,Superviseurs/superviseures de commis de finance et d'assurance,Technique-1 (Haut. Qualifie)                                                                                                                                                                                                                                   ,Affaires                                                                        ,4500,equilibre
400,Ensemble du Quebec,1213,Superviseurs/superviseures de commis de bibliothèque/ de correspondanciers et d'autres commis à l'information,Technique-1 (Haut. Qualifie)                                                                                                                                                                                                                                   ,Affaires                                                                        ,700,equilibre
400,Ensemble du Quebec,1214,Superviseurs/superviseures de services postaux et de messageries,Technique-1 (Haut. Qualifie)                                                                                                                                                                                                                                   ,Affaires                                                                        ,3000,equilibre
400,Ensemble du Quebec,1215,Superviseurs/superviseures du personnel de coordination de la chaîne d'approvisionnement/ du suivi et des horaires,Technique-1 (Haut. Qualifie)                                                                                                                                                                                                                                   ,Affaires                                                                        ,14000,equilibre
400,Ensemble du Quebec,1221,Agents/agentes d'administration,Technique-1 (Haut. Qualifie)                                                                                                                                                                                                                                   ,Affaires                                                                        ,70000,equilibre
400,Ensemble du Quebec,1222,Adjoints/adjointes de direction,Technique-1 (Haut. Qualifie)                                                                                                                                                                                                                                   ,Affaires                                                                        ,12000,equilibre
400,Ensemble du Quebec,1223,Agents/agentes des ressources humaines et de recrutement,Technique-1 (Haut. Qualifie)                                                                                                                                                                                                                                   ,Affaires                                                                        ,10000,Leger Deficit
400,Ensemble du Quebec,1224,Agents/agentes de gestion immobilière,Technique-1 (Haut. Qualifie)                                                                                                                                                                                                                                   ,Affaires                                                                        ,8000,Leger Deficit
400,Ensemble du Quebec,1225,Agents/agentes aux achats,Technique-1 (Haut. Qualifie)                                                                                                                                                                                                                                   ,Affaires                                                                        ,12000,Leger Deficit
400,Ensemble du Quebec,1226,Planificateurs/planificatrices de congrès et d'evenements,Technique-1 (Haut. Qualifie)                                                                                                                                                                                                                                   ,Affaires                                                                        ,6000,equilibre
400,Ensemble du Quebec,1227,Juges de paix et officiers/officières de justice,Technique-1 (Haut. Qualifie)                                                                                                                                                                                                                                   ,Affaires                                                                        ,1000,Non publie
400,Ensemble du Quebec,1228,Agents/agentes d'assurance-emploi/ d'immigration/ de services frontaliers et du revenu,Technique-1 (Haut. Qualifie)                                                                                                                                                                                                                                   ,Affaires                                                                        ,9000,equilibre
400,Ensemble du Quebec,1241,Adjoints administratifs/adjointes administratives,Technique-2 (Qualifie)                                                                                                                                                                                                                                         ,Affaires                                                                        ,87000,equilibre
400,Ensemble du Quebec,1242,Adjoints administratifs juridiques/adjointes administratives juridiques,Technique-2 (Qualifie)                                                                                                                                                                                                                                         ,Affaires                                                                        ,6000,equilibre
400,Ensemble du Quebec,1243,Adjoints administratifs medicaux/adjointes administratives medicales,Technique-2 (Qualifie)                                                                                                                                                                                                                                         ,Affaires                                                                        ,19000,equilibre
400,Ensemble du Quebec,1251,Stenographes judiciaires/ transcripteurs medicaux/transcriptrices medicales et personnel assimile,Technique-1 (Haut. Qualifie)                                                                                                                                                                                                                                   ,Affaires                                                                        ,2000,equilibre
400,Ensemble du Quebec,1252,Professionnels/professionnelles de la gestion de l'information sur la sante,Technique-1 (Haut. Qualifie)                                                                                                                                                                                                                                   ,Affaires                                                                        ,1500,equilibre
400,Ensemble du Quebec,1253,Techniciens/techniciennes à la gestion des documents,Technique-1 (Haut. Qualifie)                                                                                                                                                                                                                                   ,Affaires                                                                        ,3500,equilibre
400,Ensemble du Quebec,1254,Agents/agentes de statistiques et professions connexes du soutien de la recherche,Technique-1 (Haut. Qualifie)                                                                                                                                                                                                                                   ,Affaires                                                                        ,500,Leger Surplus
400,Ensemble du Quebec,1311,Techniciens/techniciennes en comptabilite et teneurs/teneuses de livres,Technique-1 (Haut. Qualifie)                                                                                                                                                                                                                                   ,Affaires                                                                        ,29000,equilibre
400,Ensemble du Quebec,1312,Experts/expertes en sinistres et redacteurs/redactrices sinistres,Technique-1 (Haut. Qualifie)                                                                                                                                                                                                                                   ,Affaires                                                                        ,5000,Leger Deficit
400,Ensemble du Quebec,1313,Assureurs/assureures,Technique-1 (Haut. Qualifie)                                                                                                                                                                                                                                   ,Affaires                                                                        ,2500,Leger Deficit
400,Ensemble du Quebec,1314,Estimateurs/estimatrices et evaluateurs/evaluatrices,Technique-1 (Haut. Qualifie)                                                                                                                                                                                                                                   ,Affaires                                                                        ,4000,equilibre
400,Ensemble du Quebec,1315,Courtiers/courtières en douanes/ courtiers maritimes/courtières maritimes et autres courtiers/courtières,Technique-1 (Haut. Qualifie)                                                                                                                                                                                                                                   ,Affaires                                                                        ,1500,equilibre
400,Ensemble du Quebec,1411,Employes de soutien de bureau generaux/employees de soutien de bureau generales,C - Intermediaire (Moins Qualifie)                                                                                                                                                                                                                             ,Affaires                                                                        ,35000,equilibre
400,Ensemble du Quebec,1414,Receptionnistes,C - Intermediaire (Moins Qualifie)                                                                                                                                                                                                                             ,Affaires                                                                        ,32000,equilibre
400,Ensemble du Quebec,1415,Commis des services du personnel,C - Intermediaire (Moins Qualifie)                                                                                                                                                                                                                             ,Affaires                                                                        ,2500,equilibre
400,Ensemble du Quebec,1416,Commis des services judiciaires,C - Intermediaire (Moins Qualifie)                                                                                                                                                                                                                             ,Affaires                                                                        ,350,Non publie
400,Ensemble du Quebec,1422,Commis à la saisie de donnees,C - Intermediaire (Moins Qualifie)                                                                                                                                                                                                                             ,Affaires                                                                        ,6000,Leger Surplus
400,Ensemble du Quebec,1423,Operateurs/operatrices d'equipement d'editique et personnel assimile,C - Intermediaire (Moins Qualifie)                                                                                                                                                                                                                             ,Affaires                                                                        ,400,Non publie
400,Ensemble du Quebec,1431,Commis à la comptabilite et personnel assimile,C - Intermediaire (Moins Qualifie)                                                                                                                                                                                                                             ,Affaires                                                                        ,31000,equilibre
400,Ensemble du Quebec,1432,Commis à la paye,C - Intermediaire (Moins Qualifie)                                                                                                                                                                                                                             ,Affaires                                                                        ,5000,equilibre
400,Ensemble du Quebec,1434,Commis de banque/ d'assurance et d'autres services financiers,C - Intermediaire (Moins Qualifie)                                                                                                                                                                                                                             ,Affaires                                                                        ,6000,equilibre
400,Ensemble du Quebec,1435,Agents/agentes de recouvrement,C - Intermediaire (Moins Qualifie)                                                                                                                                                                                                                             ,Affaires                                                                        ,4000,equilibre
400,Ensemble du Quebec,1451,Commis et assistants/assistantes dans les bibliothèques,C - Intermediaire (Moins Qualifie)                                                                                                                                                                                                                             ,Affaires                                                                        ,2500,equilibre
400,Ensemble du Quebec,1452,Correspondanciers/correspondancières et commis aux publications et aux règlements,C - Intermediaire (Moins Qualifie)                                                                                                                                                                                                                             ,Affaires                                                                        ,4500,equilibre
400,Ensemble du Quebec,1454,Intervieweurs/intervieweuses pour enquêtes et commis aux statistiques,C - Intermediaire (Moins Qualifie)                                                                                                                                                                                                                             ,Affaires                                                                        ,3000,equilibre
400,Ensemble du Quebec,1511,Commis au courrier et aux services postaux et personnel assimile,C - Intermediaire (Moins Qualifie)                                                                                                                                                                                                                             ,Affaires                                                                        ,6000,equilibre
400,Ensemble du Quebec,1512,Facteurs/factrices,C - Intermediaire (Moins Qualifie)                                                                                                                                                                                                                             ,Affaires                                                                        ,8000,equilibre
400,Ensemble du Quebec,1513,Messagers/messagères et distributeurs/distributrices porte-à-porte,C - Intermediaire (Moins Qualifie)                                                                                                                                                                                                                             ,Affaires                                                                        ,4000,Leger Surplus
400,Ensemble du Quebec,1521,Expediteurs/expeditrices et receptionnaires,C - Intermediaire (Moins Qualifie)                                                                                                                                                                                                                             ,Affaires                                                                        ,32000,equilibre
400,Ensemble du Quebec,1522,Magasiniers/magasinières et commis aux pièces,C - Intermediaire (Moins Qualifie)                                                                                                                                                                                                                             ,Affaires                                                                        ,14000,equilibre
400,Ensemble du Quebec,1523,Coordonnateurs/coordonnatrices de la logistique de la production,C - Intermediaire (Moins Qualifie)                                                                                                                                                                                                                             ,Affaires                                                                        ,7000,equilibre
400,Ensemble du Quebec,1524,Commis aux achats et au contrôle de l'inventaire,C - Intermediaire (Moins Qualifie)                                                                                                                                                                                                                             ,Affaires                                                                        ,7000,equilibre
400,Ensemble du Quebec,1525,Repartiteurs/repartitrices,C - Intermediaire (Moins Qualifie)                                                                                                                                                                                                                             ,Affaires                                                                        ,9000,equilibre
