Code_Region;Nom_Region;Code_CNP;Titre_professionnel_de_la_CNP;Niveau_de_compétences;Genre_de_compétences;emploi_estimé_2018;Perspectives_2023
400;Ensemble du Québec;311;Directeurs/directrices des soins de santé;A-1 Gestion (Haut. Qualifié);Gestion;8000;Léger déficit
400;Ensemble du Québec;411;Gestionnaires de la fonction publique - élaboration de politiques et administration de programmes sociaux et de santé;A-1 Gestion (Haut. Qualifié);Gestion;1000;Equilibre
400;Ensemble du Québec;412;Gestionnaires de la fonction publique - analyse économique, élaboration de politiques et administration de programmes;A-1 Gestion (Haut. Qualifié);Gestion;2000;Non publié
400;Ensemble du Québec;413;Gestionnaires de la fonction publique - élaboration de politiques en matière d'éducation et administration de programmes;A-1 Gestion (Haut. Qualifié);Gestion;350;Non publié
400;Ensemble du Québec;414;Autres gestionnaires de la fonction publique;A-1 Gestion (Haut. Qualifié);Gestion;2500;Non publié
400;Ensemble du Québec;421;Administrateurs/administratrices - enseignement postsecondaire et formation professionnelle;A-1 Gestion (Haut. Qualifié);Gestion;3000;Equilibre
400;Ensemble du Québec;422;Directeurs/directrices d'école et administrateurs/administratrices de programmes d'enseignement aux niveaux primaire et secondaire;A-1 Gestion (Haut. Qualifié);Gestion;5000;Equilibre
400;Ensemble du Québec;423;Directeurs/directrices des services sociaux, communautaires et correctionnels;A-1 Gestion (Haut. Qualifié);Gestion;8000;Léger Déficit
400;Ensemble du Québec;431;Officiers/officières de direction des services de police;A-1 Gestion (Haut. Qualifié);Gestion;1000;Non publié
400;Ensemble du Québec;432;Chefs et officiers supérieurs/officières supérieures des services d'incendie;A-1 Gestion (Haut. Qualifié);Gestion;600;Non publié
400;Ensemble du Québec;433;Officiers/officières de direction des Forces armées canadiennes;A-1 Gestion (Haut. Qualifié);Gestion;2500;Non publié
400;Ensemble du Québec;511;Directeurs/directrices de bibliothèques, des archives, de musées et de galeries d'art;A-1 Gestion (Haut. Qualifié);Gestion;1000;Equilibre
400;Ensemble du Québec;512;Directeurs/directrices - édition, cinéma, radiotélédiffusion et arts de la scène;A-1 Gestion (Haut. Qualifié);Gestion;2000;Equilibre
400;Ensemble du Québec;513;Directeurs/directrices de programmes et de services de sports, de loisirs et de conditionnement physique;A-1 Gestion (Haut. Qualifié);Gestion;3000;Léger déficit
400;Ensemble du Québec;601;Directeurs/directrices des ventes corporatives;A-1 Gestion (Haut. Qualifié);Gestion;13000;Léger Déficit
400;Ensemble du Québec;621;Directeurs/directrices - commerce de détail et de gros;A-1 Gestion (Haut. Qualifié);Gestion;76000;Equilibre
400;Ensemble du Québec;631;Directeurs/directrices de la restauration et des services alimentaires;A-1 Gestion (Haut. Qualifié);Gestion;20000;Léger déficit
400;Ensemble du Québec;632;Directeurs/directrices des services d'hébergement;A-1 Gestion (Haut. Qualifié);Gestion;4000;Léger déficit
400;Ensemble du Québec;651;Directeurs/directrices du service à  la clientèle et des services personnels, n.c.a.;A-1 Gestion (Haut. Qualifié);Gestion;4500;Non publié
400;Ensemble du Québec;711;Directeurs/directrices de la construction;A-1 Gestion (Haut. Qualifié);Gestion;16000;Equilibre
400;Ensemble du Québec;712;Gestionnaires en construction et rénovation domiciliaire;A-1 Gestion (Haut. Qualifié);Gestion;9000;Equilibre
400;Ensemble du Québec;714;Directeurs/directrices de l'exploitation et de l'entretien d'immeubles;A-1 Gestion (Haut. Qualifié);Gestion;8000;Léger Surplus
400;Ensemble du Québec;731;Directeurs/directrices des transports;A-1 Gestion (Haut. Qualifié);Gestion;8000;Equilibre
400;Ensemble du Québec;811;Directeurs/directrices de l'exploitation des ressources naturelles et de la pêche;A-1 Gestion (Haut. Qualifié);Gestion;1000;Léger Déficit
400;Ensemble du Québec;821;Gestionnaires en agriculture;A-1 Gestion (Haut. Qualifié);Gestion;23000;Léger Déficit
400;Ensemble du Québec;822;Gestionnaires en horticulture;A-1 Gestion (Haut. Qualifié);Gestion;700;Equilibre
400;Ensemble du Québec;823;Gestionnaires en aquaculture;A-1 Gestion (Haut. Qualifié);Gestion;50;Non publié
400;Ensemble du Québec;911;Directeurs/directrices de la fabrication;A-1 Gestion (Haut. Qualifié);Gestion;20000;Léger Déficit
400;Ensemble du Québec;912;Directeurs/directrices des services d'utilité publique;A-1 Gestion (Haut. Qualifié);Gestion;1500;Equilibre
400;Ensemble du Québec;1111;Vérificateurs/vérificatrices et comptables;A-2 Personnel Professionnel (Haut. Qualifié);Affaires;43000;Léger déficit
400;Ensemble du Québec;1112;Analystes financiers/analystes financières et analystes en placements;A-2 Personnel Professionnel (Haut. Qualifié);Affaires;15000;Equilibre
400;Ensemble du Québec;1113;Agents/agentes en valeurs, agents/agentes en placements et négociateurs/négociatrices en valeurs;A-2 Personnel Professionnel (Haut. Qualifié);Affaires;4000;Léger déficit
400;Ensemble du Québec;1114;Autres agents financiers/agentes financières;A-2 Personnel Professionnel (Haut. Qualifié);Affaires;29000;Léger déficit
400;Ensemble du Québec;1121;Professionnels/professionnelles en ressources humaines;A-2 Personnel Professionnel (Haut. Qualifié);Affaires;24000;Léger déficit
400;Ensemble du Québec;1122;Professionnels/professionnelles des services-conseils en gestion aux entreprises;A-2 Personnel Professionnel (Haut. Qualifié);Affaires;22000;Léger déficit
400;Ensemble du Québec;1123;Professionnels/professionnelles en publicité, en marketing et en relations publiques;A-2 Personnel Professionnel (Haut. Qualifié);Affaires;28000;Léger déficit
400;Ensemble du Québec;1211;Superviseurs/superviseures de commis de bureau et du personnel de soutien administratif;Technique-1 (Haut. Qualifié);Affaires;3500;Equilibre
400;Ensemble du Québec;1212;Superviseurs/superviseures de commis de finance et d'assurance;Technique-1 (Haut. Qualifié);Affaires;4000;Equilibre
400;Ensemble du Québec;1213;Superviseurs/superviseures de commis de bibliothèque, de correspondanciers et d'autres commis à  l'information;Technique-1 (Haut. Qualifié);Affaires;700;Léger surplus
400;Ensemble du Québec;1214;Superviseurs/superviseures de services postaux et de messageries;Technique-1 (Haut. Qualifié);Affaires;3500;Equilibre
400;Ensemble du Québec;1215;Superviseurs/superviseures du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires;Technique-1 (Haut. Qualifié);Affaires;14000;Léger déficit
400;Ensemble du Québec;1221;Agents/agentes d'administration;Technique-1 (Haut. Qualifié);Affaires;67000;Léger déficit
400;Ensemble du Québec;1222;Adjoints/adjointes de direction;Technique-1 (Haut. Qualifié);Affaires;12000;Léger Déficit
400;Ensemble du Québec;1223;Agents/agentes des ressources humaines et de recrutement;Technique-1 (Haut. Qualifié);Affaires;10000;Léger Déficit
400;Ensemble du Québec;1224;Agents/agentes de gestion immobilière;Technique-1 (Haut. Qualifié);Affaires;7000;Léger Déficit
400;Ensemble du Québec;1225;Agents/agentes aux achats;Technique-1 (Haut. Qualifié);Affaires;12000;Léger Déficit
400;Ensemble du Québec;1226;Planificateurs/planificatrices de congrès et d'événements;Technique-1 (Haut. Qualifié);Affaires;6000;Equilibre
400;Ensemble du Québec;1227;Juges de paix et officiers/officières de justice;Technique-1 (Haut. Qualifié);Affaires;1000;Non publié
400;Ensemble du Québec;1228;Agents/agentes d'assurance-emploi, d'immigration, de services frontaliers et du revenu;Technique-1 (Haut. Qualifié);Affaires;9000;Equilibre
400;Ensemble du Québec;1241;Adjoints administratifs/adjointes administratives;Technique-2 (Qualifié);Affaires;83000;Equilibre
400;Ensemble du Québec;1242;Adjoints administratifs juridiques/adjointes administratives juridiques;Technique-2 (Qualifié);Affaires;5000;Léger surplus
400;Ensemble du Québec;1243;Adjoints administratifs médicaux/adjointes administratives médicales;Technique-2 (Qualifié);Affaires;19000;Equilibre
400;Ensemble du Québec;1251;Sténographes judiciaires, transcripteurs médicaux/transcriptrices médicales et personnel assimilé;Technique-1 (Haut. Qualifié);Affaires;2000;Equilibre
400;Ensemble du Québec;1252;Professionnels/professionnelles de la gestion de l'information sur la santé;Technique-1 (Haut. Qualifié);Affaires;1500;Equilibre
400;Ensemble du Québec;1253;Techniciens/techniciennes à  la gestion des documents;Technique-1 (Haut. Qualifié);Affaires;3500;Equilibre
400;Ensemble du Québec;1254;Agents/agentes de statistiques et professions connexes du soutien de la recherche;Technique-1 (Haut. Qualifié);Affaires;500;Equilibre
400;Ensemble du Québec;1311;Techniciens/techniciennes en comptabilité et teneurs/teneuses de livres;Technique-1 (Haut. Qualifié);Affaires;30000;Equilibre
400;Ensemble du Québec;1312;Experts/expertes en sinistres et rédacteurs/rédactrices sinistres;Technique-1 (Haut. Qualifié);Affaires;6000;Léger Déficit
400;Ensemble du Québec;1313;Assureurs/assureures;Technique-1 (Haut. Qualifié);Affaires;3000;Léger déficit
400;Ensemble du Québec;1314;Estimateurs/estimatrices et évaluateurs/évaluatrices;Technique-1 (Haut. Qualifié);Affaires;3500;Equilibre
400;Ensemble du Québec;1315;Courtiers/courtières en douanes, courtiers maritimes/courtières maritimes et autres courtiers/courtières;Technique-1 (Haut. Qualifié);Affaires;1500;Equilibre
400;Ensemble du Québec;1411;Employés de soutien de bureau généraux/employées de soutien de bureau générales;C de la CNP (Moins Qualifié);Affaires;33000;Equilibre
400;Ensemble du Québec;1414;Réceptionnistes;C de la CNP (Moins Qualifié);Affaires;30000;Equilibre
400;Ensemble du Québec;1415;Commis des services du personnel;C de la CNP (Moins Qualifié);Affaires;2500;Equilibre
400;Ensemble du Québec;1416;Commis des services judiciaires;C de la CNP (Moins Qualifié);Affaires;350;Non publié
400;Ensemble du Québec;1422;Commis à  la saisie de données;C de la CNP (Moins Qualifié);Affaires;6000;Equilibre
400;Ensemble du Québec;1423;Opérateurs/opératrices d'équipement d'éditique et personnel assimilé;C de la CNP (Moins Qualifié);Affaires;350;Non publié
400;Ensemble du Québec;1431;Commis à  la comptabilité et personnel assimilé;C de la CNP (Moins Qualifié);Affaires;29000;Equilibre
400;Ensemble du Québec;1432;Administrateurs/administratrices de la paye;C de la CNP (Moins Qualifié);Affaires;5000;Equilibre
400;Ensemble du Québec;1434;Commis de banque, d'assurance et d'autres services financiers;C de la CNP (Moins Qualifié);Affaires;6000;Léger déficit
400;Ensemble du Québec;1435;Agents/agentes de recouvrement;C de la CNP (Moins Qualifié);Affaires;3500;Léger surplus
400;Ensemble du Québec;1451;Commis et assistants/assistantes dans les bibliothèques;C de la CNP (Moins Qualifié);Affaires;2500;Léger surplus
400;Ensemble du Québec;1452;Correspondanciers/correspondancières et commis aux publications et aux règlements;C de la CNP (Moins Qualifié);Affaires;4000;Equilibre
400;Ensemble du Québec;1454;Intervieweurs/intervieweuses pour enquêtes et commis aux statistiques;C de la CNP (Moins Qualifié);Affaires;3000;Equilibre
400;Ensemble du Québec;1511;Commis au courrier et aux services postaux et personnel assimilé;C de la CNP (Moins Qualifié);Affaires;6000;Equilibre
400;Ensemble du Québec;1512;Facteurs/factrices;C de la CNP (Moins Qualifié);Affaires;7000;Equilibre
400;Ensemble du Québec;1513;Messagers/messagères et distributeurs/distributrices porte-à -porte;C de la CNP (Moins Qualifié);Affaires;3000;Léger Surplus
400;Ensemble du Québec;1521;Expéditeurs/expéditrices et réceptionnaires;C de la CNP (Moins Qualifié);Affaires;30000;Equilibre
400;Ensemble du Québec;1522;Magasiniers/magasinières et commis aux pièces;C de la CNP (Moins Qualifié);Affaires;13000;Equilibre
400;Ensemble du Québec;1523;Coordonnateurs/coordonnatrices de la logistique de la production;C de la CNP (Moins Qualifié);Affaires;6000;Léger déficit
400;Ensemble du Québec;1524;Commis aux achats et au contrôle de l'inventaire;C de la CNP (Moins Qualifié);Affaires;6000;Equilibre
400;Ensemble du Québec;1525;Répartiteurs/répartitrices;C de la CNP (Moins Qualifié);Affaires;9000;Léger Déficit
400;Ensemble du Québec;1526;Horairistes de trajets et d'équipages;C de la CNP (Moins Qualifié);Affaires;2000;Léger Déficit
400;Ensemble du Québec;2111;Physiciens/physiciennes et astronomes;A-2 Personnel Professionnel (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;900;Equilibre
400;Ensemble du Québec;2112;Chimistes;A-2 Personnel Professionnel (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;3500;Equilibre
400;Ensemble du Québec;2113;Géoscientifiques et océanographes;A-2 Personnel Professionnel (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;1000;Léger déficit
400;Ensemble du Québec;2114;Météorologues et climatologues;A-2 Personnel Professionnel (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;300;Non publié
400;Ensemble du Québec;2115;Autres professionnels/professionnelles des sciences physiques;A-2 Personnel Professionnel (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;200;Non publié
400;Ensemble du Québec;2121;Biologistes et personnel scientifique assimilé;A-2 Personnel Professionnel (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;4500;Equilibre
400;Ensemble du Québec;2122;Professionnels/professionnelles des sciences forestières;A-2 Personnel Professionnel (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;1500;Léger déficit
400;Ensemble du Québec;2123;Agronomes, conseillers/conseillères et spécialistes en agriculture;A-2 Personnel Professionnel (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;2500;Léger Déficit
400;Ensemble du Québec;2131;Ingénieurs civils/ingénieures civiles;A-2 Personnel Professionnel (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;15000;Déficit
400;Ensemble du Québec;2132;Ingénieurs mécaniciens/ingénieures mécaniciennes;A-2 Personnel Professionnel (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;15000;Léger Déficit
400;Ensemble du Québec;2133;Ingénieurs électriciens et électroniciens/ingénieures électriciennes et électroniciennes;A-2 Personnel Professionnel (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;11000;Léger déficit
400;Ensemble du Québec;2134;Ingénieurs chimistes/ingénieures chimistes;A-2 Personnel Professionnel (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;2000;Equilibre
400;Ensemble du Québec;2141;Ingénieurs/ingénieures d'industrie et de fabrication;A-2 Personnel Professionnel (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;4500;Léger déficit
400;Ensemble du Québec;2142;Ingénieurs/ingénieures métallurgistes et des matériaux;A-2 Personnel Professionnel (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;700;Equilibre
400;Ensemble du Québec;2143;Ingénieurs miniers/ingénieures minières;A-2 Personnel Professionnel (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;700;Léger Déficit
400;Ensemble du Québec;2144;Ingénieurs géologues/ingénieures géologues;A-2 Personnel Professionnel (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;700;Léger Déficit
400;Ensemble du Québec;2145;Ingénieurs/ingénieures de l'extraction et du raffinage du pétrole;A-2 Personnel Professionnel (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;100;Non publié
400;Ensemble du Québec;2146;Ingénieurs/ingénieures en aérospatiale;A-2 Personnel Professionnel (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;3500;Equilibre
400;Ensemble du Québec;2147;Ingénieurs informaticiens/ingénieures informaticiennes (sauf ingénieurs/ingénieures et concepteurs/conceptrices en logiciel);A-2 Personnel Professionnel (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;8000;Léger déficit
400;Ensemble du Québec;2148;Autres ingénieurs/ingénieures, n.c.a.;A-2 Personnel Professionnel (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;1500;Non publié
400;Ensemble du Québec;2151;Architectes;A-2 Personnel Professionnel (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;7000;Léger déficit
400;Ensemble du Québec;2152;Architectes paysagistes;A-2 Personnel Professionnel (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;700;Léger déficit
400;Ensemble du Québec;2153;Urbanistes et planificateurs/planificatrices de l'utilisation des sols;A-2 Personnel Professionnel (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;2000;Equilibre
400;Ensemble du Québec;2154;Arpenteurs-géomètres/arpenteuses-géomètres;A-2 Personnel Professionnel (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;2500;Léger déficit
400;Ensemble du Québec;2161;Mathématiciens/mathématiciennes, statisticiens/statisticiennes et actuaires;A-2 Personnel Professionnel (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;4500;Déficit
400;Ensemble du Québec;2171;Analystes et consultants/consultantes en informatique;A-2 Personnel Professionnel (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;42000;Déficit
400;Ensemble du Québec;2172;Analystes de bases de données et administrateurs/administratrices de données;A-2 Personnel Professionnel (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;6000;Léger déficit
400;Ensemble du Québec;2173;Ingénieurs/ingénieures et concepteurs/conceptrices en logiciel;A-2 Personnel Professionnel (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;10000;Déficit
400;Ensemble du Québec;2174;Programmeurs/programmeuses et développeurs/développeuses en médias interactifs;A-2 Personnel Professionnel (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;40000;Déficit
400;Ensemble du Québec;2175;Concepteurs/conceptrices et développeurs/développeuses Web;A-2 Personnel Professionnel (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;9000;Léger déficit
400;Ensemble du Québec;2211;Technologues et techniciens/techniciennes en chimie;Technique-1 (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;6000;Léger Déficit
400;Ensemble du Québec;2212;Technologues et techniciens/techniciennes en géologie et en minéralogie;Technique-1 (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;1500;Léger Déficit
400;Ensemble du Québec;2221;Technologues et techniciens/techniciennes en biologie;Technique-1 (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;2500;Equilibre
400;Ensemble du Québec;2222;Inspecteurs/inspectrices des produits agricoles et de la pêche;Technique-1 (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;1000;Equilibre
400;Ensemble du Québec;2223;Technologues et techniciens/techniciennes en sciences forestières;Technique-1 (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;1500;Léger Déficit
400;Ensemble du Québec;2224;Techniciens/techniciennes du milieu naturel et de la pêche;Technique-1 (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;700;Equilibre
400;Ensemble du Québec;2225;Techniciens/techniciennes et spécialistes de l'aménagement paysager et de l'horticulture;Technique-1 (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;5000;Léger Déficit
400;Ensemble du Québec;2231;Technologues et techniciens/techniciennes en génie civil;Technique-1 (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;9000;Déficit
400;Ensemble du Québec;2232;Technologues et techniciens/techniciennes en génie mécanique;Technique-1 (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;7000;Déficit
400;Ensemble du Québec;2233;Technologues et techniciens/techniciennes en génie industriel et en génie de fabrication;Technique-1 (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;5000;Léger Déficit
400;Ensemble du Québec;2234;Estimateurs/estimatrices en construction;Technique-1 (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;6000;Léger Déficit
400;Ensemble du Québec;2241;Technologues et techniciens/techniciennes en génie électronique et électrique;Technique-1 (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;14000;Déficit
400;Ensemble du Québec;2242;Electroniciens/électroniciennes d'entretien (biens domestiques et commerciaux);Technique-1 (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;8000;Equilibre
400;Ensemble du Québec;2243;Techniciens/techniciennes et mécaniciens/mécaniciennes d'instruments industriels;Technique-1 (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;2500;Léger déficit
400;Ensemble du Québec;2244;Mécaniciens/mécaniciennes, techniciens/techniciennes et contrôleurs/contrôleuses d'avionique et d'instruments et d'appareillages électriques d'aéronefs;Technique-1 (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;2000;Léger déficit
400;Ensemble du Québec;2251;Technologues et techniciens/techniciennes en architecture;Technique-1 (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;4000;Equilibre
400;Ensemble du Québec;2252;Designers industriels/designers industrielles;Technique-1 (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;4000;Léger Déficit
400;Ensemble du Québec;2253;Technologues et techniciens/techniciennes en dessin;Technique-1 (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;10000;Léger Déficit
400;Ensemble du Québec;2254;Technologues et techniciens/techniciennes en arpentage;Technique-1 (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;2500;Equilibre
400;Ensemble du Québec;2255;Personnel technique en géomatique et en météorologie;Technique-1 (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;1500;Equilibre
400;Ensemble du Québec;2261;Vérificateurs/vérificatrices et essayeurs/essayeuses des essais non destructifs;Technique-1 (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;800;Léger Déficit
400;Ensemble du Québec;2262;Inspecteurs/inspectrices d'ingénierie et officiers/officières de réglementation;Technique-1 (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;1500;Equilibre
400;Ensemble du Québec;2263;Inspecteurs/inspectrices de la santé publique, de l'environnement et de l'hygiène et de la sécurité au travail;Technique-1 (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;5000;Léger Déficit
400;Ensemble du Québec;2264;Inspecteurs/inspectrices en construction;Technique-1 (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;3000;Léger déficit
400;Ensemble du Québec;2271;Pilotes, navigateurs/navigatrices et instructeurs/instructrices de pilotage du transport aérien;Technique-1 (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;3000;Léger surplus
400;Ensemble du Québec;2272;Contrôleurs aériens/contrôleuses aériennes et personnel assimilé;Technique-1 (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;800;Léger surplus
400;Ensemble du Québec;2273;Officiers/officières de pont du transport par voies navigables;Technique-1 (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;700;Léger Déficit
400;Ensemble du Québec;2274;Officiers mécaniciens/officières mécaniciennes du transport par voies navigables;Technique-1 (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;500;Léger Déficit
400;Ensemble du Québec;2275;Contrôleurs/contrôleuses de la circulation ferroviaire et régulateurs/régulatrices de la circulation maritime;Technique-1 (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;250;Non publié
400;Ensemble du Québec;2281;Techniciens/techniciennes de réseau informatique;Technique-1 (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;21000;Léger déficit
400;Ensemble du Québec;2282;Agents/agentes de soutien aux utilisateurs;Technique-1 (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;11000;Léger Déficit
400;Ensemble du Québec;2283;Evaluateurs/évaluatrices de systèmes informatiques;Technique-1 (Haut. Qualifié);Sciences naturelles et appliquées et professions apparentées ;2500;Léger Déficit
400;Ensemble du Québec;3011;Coordonnateurs/coordonnatrices et superviseurs/superviseures des soins infirmiers;A-2 Personnel Professionnel (Haut. Qualifié);Secteur de la santé;4500;Déficit
400;Ensemble du Québec;3012;Infirmiers autorisés/infirmières autorisées et infirmiers psychiatriques autorisés/infirmières psychiatriques autorisées;A-2 Personnel Professionnel (Haut. Qualifié);Secteur de la santé;71000;Déficit
400;Ensemble du Québec;3111;Médecins spécialistes;A-2 Personnel Professionnel (Haut. Qualifié);Secteur de la santé;13000;Déficit
400;Ensemble du Québec;3112;Omnipraticiens/omnipraticiennes et médecins en médecine familiale;A-2 Personnel Professionnel (Haut. Qualifié);Secteur de la santé;15000;Déficit
400;Ensemble du Québec;3113;Dentistes;A-2 Personnel Professionnel (Haut. Qualifié);Secteur de la santé;5000;Déficit
400;Ensemble du Québec;3114;Vétérinaires;A-2 Personnel Professionnel (Haut. Qualifié);Secteur de la santé;2000;Léger Déficit
400;Ensemble du Québec;3121;Optométristes;A-2 Personnel Professionnel (Haut. Qualifié);Secteur de la santé;1500;Déficit
400;Ensemble du Québec;3122;Chiropraticiens/chiropraticiennes;A-2 Personnel Professionnel (Haut. Qualifié);Secteur de la santé;1500;Léger déficit
400;Ensemble du Québec;3124;Praticiens/praticiennes reliés en soins de santé primaire;A-2 Personnel Professionnel (Haut. Qualifié);Secteur de la santé;700;Déficit
400;Ensemble du Québec;3125;Autres professionnels/professionnelles en diagnostic et en traitement de la santé;A-2 Personnel Professionnel (Haut. Qualifié);Secteur de la santé;3000;Non publié
400;Ensemble du Québec;3131;Pharmaciens/pharmaciennes;A-2 Personnel Professionnel (Haut. Qualifié);Secteur de la santé;10000;Déficit
400;Ensemble du Québec;3132;Diététistes et nutritionnistes;A-2 Personnel Professionnel (Haut. Qualifié);Secteur de la santé;3000;Léger déficit
